APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
6763AB19F9A46223EA2718C8F7A580EA7733659B0475972D3E0E84D2579F2236,154.87966442108154,8,221,0,27.62,86
697FE7AAA0922C43CC827569961B654771630539DBD4211100D8667E9C8B32CA,403.3523850440979,1,1,0,1.00,1
6EBED1A466F613167F29D3E7932443BDB0EF97012E3126C60323C4F28860CA9F,487.01075983047485,7,13,0,1.86,7
6F7FFDD9BC7B322B1BA6BD3F9CD4AB48ECDE423294B5535DF2C4C3ED62222469,948.6710348129272,2,140,0,70.00,96
72A578148C8FFA4B90839EA856B60C7912B44973E4F33DF0B7E65EAB92DB079C,862.7067461013794,29,518,0,17.86,518
771952023C1EAE7B5DCCB8CF2106363AE214425D3936CEDFBCAF86D6D7FB5C3A,760.0608832836151,16,382,0,23.88,292
7788331B2FE3C3092DC20EFA96B1184CA3F0ABA948B11C8D3EC6876F1F76A558,3254.154023885727,23,624,0,27.13,524
7958901BCABDE974E9FCF8BF7DE63BD8CEB654A1718A953F8626A3E829207AB0,172613.3414299488,30,5654,0,188.47,3276
7D210228301FD61D1086711C001F931B4909A318ADC1D57D14BC3CE6A9E47AFB,434.6276636123657,31,129,0,4.16,93
80344EAAAFE3C11B0BFB8FCCACF25E8BFEE5C53E1D85BD5A0BB09EF2E2BE4007,26.98370337486267,48,77,0,1.60,77
80C0FBCC6FC65C965F466CD7E8C5051FA2801F5AFAF478A7212B4583D74AB07C,770.6031744480133,33,68,0,2.06,68
8353FA570AA122F20D1C87F81CCFCE9BB0542209431B748FC0CEA4DF673B0E0C,683.9329469203949,16,449,0,28.06,266
8687CFC10C0DF9F44F8BBC54E85FAAA8F98FC586476BDCBE455B36DBB3899CC6,945.5824394226074,42,101,0,2.40,101
8B4EA36FE14A96D5C024CB2F0470DD32062BBFBB3176F6CA69BD560AB8793661,314.24308681488037,13,29,0,2.23,29
8CC07DE417A472E7E7036C13EC94948C1818CDF3E31F7A1BD3DCFA1560592555,484.05350971221924,39,138,0,3.54,123
8DDE3803F30E68E8E23FE1EDC67CAF5E1421E45904237B741F49B8DFA848FAE7,380.41218185424805,15,525,0,35.00,525
917AE45500F61827A5967A9E703F88920836D7227101BBF7E5197CE2B55A5560,206.95608806610107,22,29,0,1.32,29
9335FD231C4C1CB888468C69C11579688907640F0403F23E7B8709E88B2FC8C6,1792.7239801883698,7,677,0,96.71,363
93B695C0890575397F049873203A8454C3514493D22FF365D8A363D2B2F99D67,216.88785243034363,18,68,0,3.78,68
946BAEEB3BC41A9B44C656B1FF2C1C1CBEEDFEC066945FC9E6D397BE064E7DC6,758.1306035518646,14,14,0,1.00,14
9AE3A50209A6E8B06C37B4EEF67CE039BB8283EFD8D6C2C2C4AA102CD7AFF54A,610.8481869697571,28,41,0,1.46,41
9CE067942CBD9A23C1CD81190430EDB2FFBDAF1BBF2BD7521C7A0CB0D153B54E,47097.27505779266,27,1846,0,68.37,1846
9F420B96DEDCADC82163CE7CEFEB4E7D578381679093A7153365028A34891E00,4402.749098300934,41,2489,0,60.71,1856
9F4AE69D0ADB02CFC63CE4EB6BD7D2F9F005C096AF86E8FDF1748CC2685C6513,159.335595369339,8,14,0,1.75,14
9F83A3F5FDAE6CDCAF6F6B8648230D565BFD46E03A6E08C60B6AC55E1B46F491,816.4020538330078,24,250,0,10.42,250
