APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS,PoR
6EBED1A466F613167F29D3E7932443BDB0EF97012E3126C60323C4F28860CA9F,948.1845979690552,18,658,0,36.56,408,16.67
6F7FFDD9BC7B322B1BA6BD3F9CD4AB48ECDE423294B5535DF2C4C3ED62222469,2663.0107662677765,31,5951,0,191.97,4472,0.00
72A578148C8FFA4B90839EA856B60C7912B44973E4F33DF0B7E65EAB92DB079C,867.4566078186035,40,1609,0,40.23,1381,0
771952023C1EAE7B5DCCB8CF2106363AE214425D3936CEDFBCAF86D6D7FB5C3A,3384.73468708992,33,6014,0,182.24,4297,0
7788331B2FE3C3092DC20EFA96B1184CA3F0ABA948B11C8D3EC6876F1F76A558,16402.199165582657,17,4383,0,257.82,3895,5.88
7958901BCABDE974E9FCF8BF7DE63BD8CEB654A1718A953F8626A3E829207AB0,29233.455076932907,39,6412,0,164.41,4201
7D210228301FD61D1086711C001F931B4909A318ADC1D57D14BC3CE6A9E47AFB,1808.5640501976013,44,10855,0,246.70,4298,0
80344EAAAFE3C11B0BFB8FCCACF25E8BFEE5C53E1D85BD5A0BB09EF2E2BE4007,26.17788791656494,49,76,0,1.55,76,12.24
80C0FBCC6FC65C965F466CD7E8C5051FA2801F5AFAF478A7212B4583D74AB07C,4774.519559621811,29,1132,0,39.03,862,65.52
8353FA570AA122F20D1C87F81CCFCE9BB0542209431B748FC0CEA4DF673B0E0C,5079.029016971588,42,7228,0,172.10,5291,9.52
8687CFC10C0DF9F44F8BBC54E85FAAA8F98FC586476BDCBE455B36DBB3899CC6,7844.485507249832,37,2854,0,77.14,2404,13.51
8B4EA36FE14A96D5C024CB2F0470DD32062BBFBB3176F6CA69BD560AB8793661,593.1088092327118,22,1723,0,78.32,1394,9.09
8CC07DE417A472E7E7036C13EC94948C1818CDF3E31F7A1BD3DCFA1560592555,1423.6640102863312,37,2903,0,78.46,1802,8.11
8DDE3803F30E68E8E23FE1EDC67CAF5E1421E45904237B741F49B8DFA848FAE7,621.3500542640686,31,384,0,12.39,326,6.45
917AE45500F61827A5967A9E703F88920836D7227101BBF7E5197CE2B55A5560,533.243138551712,49,1075,0,21.94,948,0.00
9335FD231C4C1CB888468C69C11579688907640F0403F23E7B8709E88B2FC8C6,4949.623412847519,38,8607,0,226.50,5795,5.26
93B695C0890575397F049873203A8454C3514493D22FF365D8A363D2B2F99D67,881.2697885036469,29,3555,0,122.59,2836,3.45
946BAEEB3BC41A9B44C656B1FF2C1C1CBEEDFEC066945FC9E6D397BE064E7DC6,7231.168748617172,32,1653,0,51.66,1653,46.88
9AE3A50209A6E8B06C37B4EEF67CE039BB8283EFD8D6C2C2C4AA102CD7AFF54A,1448.1697390079498,44,2750,0,62.50,1762,40.91
9CE067942CBD9A23C1CD81190430EDB2FFBDAF1BBF2BD7521C7A0CB0D153B54E,6070.360055685043,37,14162,0,382.76,9922,0
9F420B96DEDCADC82163CE7CEFEB4E7D578381679093A7153365028A34891E00,2463.152441740036,41,3990,0,97.32,2714,0.00
9F4AE69D0ADB02CFC63CE4EB6BD7D2F9F005C096AF86E8FDF1748CC2685C6513,228.26952481269836,26,857,0,32.96,857,30.77
9F83A3F5FDAE6CDCAF6F6B8648230D565BFD46E03A6E08C60B6AC55E1B46F491,3373.3506197929382,43,10925,0,254.07,10441,0
A3FDA77D24E0681BFBCBBE00DF9C6CE8FDA734E2B928FEA2D23BC6AF794A271B,243.66480374336243,50,970,0,19.40,881,52.00
A480F8164C1FE78DE4BA071910B8842485F7BE8CADDED0E759CDEB03C0389EAB,5808.110990762711,36,4856,0,134.89,4470,4.53
A6F94981520C2329E70A754F709763FD39793E6BBCF054EBF06695AA9E30DF8A,5258.882439613342,22,5541,0,251.86,2768,0
A70A3D6EA481C0FE0C1887BEA3E3434D7614E6B7CF747B899C0EB8C139286143,617.2096371650696,41,3216,0,78.44,2031,3.54
AB838382FED5A2493456B97BB34481D81BF9C9CA5EAAD27D16DFC95B44CD1F3E,2019.0232572555542,38,3417,0,89.92,2635,0
ACFD57B578E1C356F415EDC6E462C8A96F193A2F7B4AADE578E09155647D088C,12994.270283460617,30,7435,0,247.83,2459,0
B082D0DF2E4D1DBADD667FE96292C4C7CC53CBCA795C49295A7C27ACE008F3FC,1748.761971950531,32,2949,0,92.16,2393,0
B4098FCC8C47A10B42868E2B093B5D642F13294F284840B6B25FE695612740C0,3315.4433958530426,44,4985,0,113.30,4985,13.64
B5529BFF4D2E24435332C30324A0FB95578B6D3B5E844E907651B16992201701,6780.886766195297,29,4518,0,155.79,2372,2.87
BBD13666C890685B8B071157A39CF5B81E2431B1511A6840B80BCCCA13A87E18,123.26357865333557,34,1347,0,39.62,1203,5.34
BE2973BCBBA39B06147DB5520C36C7FF18CB25033548FB6DBFA92A1B526746C7,6448.596361160278,38,13806,0,363.32,5121,2.66
BF14EB26DCC8288551B2365AB76A43E9B93D2C6EF30A4AFA38612CA51AE86C79,528.1669964790344,32,3428,0,107.12,2464,12.50
BFE864C0B0FBB68A1A84E27E1E99161F3E61876AEADC0FE6D08295FBF6BA9C03,13184.930374622345,39,7955,0,203.97,4427,0.00
C0B8AC91A8145A03D0491C23B9178C443C293ECED6B8F9E1481D8217B58B504F,2011.1726219654083,36,1696,0,47.11,1694,0
C2C91936EFD64F883742ED8CA0066927C5F7618D3F67DB40E6C4BB9ADFBED8C5,35521.59624052048,32,4996,0,156.12,3580
