app_name,reached_methods,percentage_reached
Addi,10,20.0
a2dpvolume,18,36.0
aGrep,15,30.0
aLogCat,18,36.0
aagtl,16,32.0
aard2,21,42.0
adsdroid,32,64.0
alarmclock,14,28.000000000000004
amazed,20,40.0
anycut,10,20.0
appcachecleaner,21,42.0
autoanswer,12,24.0
battery_circle,21,42.0
batterydog,19,38.0
bites,11,22.0
blokish,10,20.0
bomber,19,38.0
bookcatalogue,10,20.0
countdowntimer,18,36.0
dalvikexplorer,13,26.0
dialer2,22,44.0
divide_and_conquer,26,52.0
frozenbubble,15,30.0
gestures,12,24.0
hotdeath,33,66.0
importcontacts,13,26.0
jamendo,12,24.0
k9mail,11,22.0
learn_music_notes,17,34.0
lockpatterngenerator,25,50.0
lolcatbuilder,13,26.0
manpages,20,40.0
mileage,13,26.0
mininoteviewer,15,30.0
mirrored,20,40.0
multismssender,13,26.0
munchlife,13,26.0
musicplayer,20,40.0
mylock,11,22.0
nectroid,10,20.0
netcounter,17,34.0
passwordmaker,19,38.0
quicksettings,17,34.0
ringdroid,22,44.0
sanity,12,24.0
swiftp,13,26.0
syncmypix,12,24.0
tippytipper,36,72.0
tomdroid,15,30.0
translate,0,0.0
weight_chart,14,28.000000000000004
whohasmystuff,19,38.0
wikipedia,28,56.00000000000001
worldclock,23,46.0
yahtzee,12,24.0
zooborns,18,36.0
Average,,33.54
