time_seconds,time_minutes,output_run1_avg,output_run2_avg,output_run3_avg,final_avg
102,1.700000,8.472481,7.849235,8.455085,8.258934
103,1.716667,8.481419,7.849235,8.455085,8.261913
104,1.733333,8.481419,7.853372,8.460866,8.265219
105,1.750000,8.495454,7.853372,8.460866,8.269898
106,1.766667,8.507679,7.856305,8.460866,8.274950
107,1.783333,8.507679,7.856305,8.460866,8.274950
108,1.800000,8.507679,7.870591,8.492761,8.290344
109,1.816667,8.507679,7.870591,8.495411,8.291227
110,1.833333,8.507679,7.870650,8.500833,8.293054
111,1.850000,8.507679,7.870650,8.500833,8.293054
112,1.866667,8.507679,7.874347,8.500833,8.294286
113,1.883333,8.507679,7.874347,8.500833,8.294286
114,1.900000,8.507708,7.874347,8.502265,8.294773
115,1.916667,8.513131,7.874376,8.527305,8.304937
116,1.933333,8.513131,7.874376,8.540910,8.309472
117,1.950000,8.513131,7.874376,8.540910,8.309472
118,1.966667,8.545471,7.874376,8.540910,8.320252
119,1.983333,8.545471,7.876701,8.549621,8.323931
120,2.000000,8.545471,7.876701,8.549621,8.323931
121,2.016667,8.545471,7.876701,8.549621,8.323931
122,2.033333,8.548790,7.876701,8.551347,8.325613
123,2.050000,8.565473,7.884638,8.704806,8.384973
124,2.066667,8.565473,7.884638,8.786187,8.412099
125,2.083333,8.569580,7.884857,8.816799,8.423745
126,2.100000,8.569580,7.884857,8.816799,8.423745
127,2.116667,8.569580,7.884857,8.818504,8.424314
128,2.133333,8.569580,7.884857,8.818504,8.424314
129,2.150000,8.569645,7.884857,9.000102,8.484868
130,2.166667,8.574676,7.891528,9.001265,8.489156
131,2.183333,8.574676,7.891528,9.017353,8.494519
132,2.200000,8.574676,7.891528,9.089300,8.518501
133,2.216667,8.574676,7.918730,9.089300,8.527569
134,2.233333,8.574676,7.918730,9.089300,8.527569
135,2.250000,8.574676,7.918730,9.089300,8.527569
136,2.266667,8.574676,7.918730,9.089388,8.527598
137,2.283333,8.574676,7.918730,9.089388,8.527598
138,2.300000,8.574676,7.918730,9.089388,8.527598
139,2.316667,8.575620,7.918730,9.091713,8.528688
140,2.333333,8.575620,7.918730,9.091713,8.528688
141,2.350000,8.575620,7.918730,9.091779,8.528710
142,2.366667,8.575620,7.922270,9.096744,8.531545
143,2.383333,8.575620,7.922270,9.096744,8.531545
144,2.400000,8.575664,7.927692,9.096744,8.533367
145,2.416667,8.575664,7.927692,9.096744,8.533367
146,2.433333,8.575664,7.928198,9.096744,8.533535
147,2.450000,8.575664,7.928198,9.096744,8.533535
148,2.466667,8.575664,7.928198,9.096744,8.533535
149,2.483333,8.575664,7.928198,9.096744,8.533535
150,2.500000,8.575799,7.928198,9.096744,8.533580
151,2.516667,8.575799,7.928198,9.096744,8.533580
152,2.533333,8.575799,7.928198,9.096744,8.533580
153,2.550000,8.575799,7.928198,9.096773,8.533590
154,2.566667,8.575799,7.928198,9.096830,8.533609
155,2.583333,8.575799,7.929861,9.096830,8.534163
156,2.600000,8.576871,7.930236,9.111943,8.539683
157,2.616667,8.592008,7.930236,9.111943,8.544729
158,2.633333,8.592008,7.930236,9.111943,8.544729
159,2.650000,8.597163,7.930236,9.111943,8.546448
160,2.666667,8.597823,7.930236,9.111943,8.546668
161,2.683333,8.599379,7.930236,9.116522,8.548712
162,2.700000,8.599882,7.930302,9.116522,8.548902
163,2.716667,8.599904,7.935224,9.156050,8.563726
164,2.733333,8.599904,7.943160,9.158375,8.567146
165,2.750000,8.599904,7.945384,9.158375,8.567887
166,2.766667,8.599904,7.950184,9.158375,8.569488
167,2.783333,8.599904,7.950184,9.158440,8.569509
168,2.800000,8.603250,7.950184,9.158484,8.570640
169,2.816667,8.603432,7.950184,9.158484,8.570700
170,2.833333,8.605569,7.950184,9.159002,8.571585
171,2.850000,8.606292,7.950184,9.159002,8.571826
172,2.866667,8.765731,7.950184,9.159002,8.624972
173,2.883333,8.765731,7.950184,9.159002,8.624972
174,2.900000,8.766491,7.950184,9.188875,8.635183
175,2.916667,8.766491,7.979343,9.188875,8.644903
176,2.933333,8.766491,7.979409,9.189134,8.645011
177,2.950000,8.766491,7.979409,9.189134,8.645011
178,2.966667,8.766491,7.979409,9.189134,8.645011
179,2.983333,8.766491,7.986396,9.189134,8.647340
180,3.000000,8.766491,7.986396,9.189134,8.647340
181,3.016667,8.768355,7.986440,9.189134,8.647976
182,3.033333,8.768355,7.986440,9.191206,8.648667
183,3.050000,8.768355,7.986440,9.191206,8.648667
184,3.066667,8.768355,7.986440,9.191206,8.648667
185,3.083333,8.768355,7.986440,9.192058,8.648951
186,3.100000,8.768355,7.988024,9.192058,8.649479
187,3.116667,8.768355,7.988308,9.192058,8.649574
188,3.133333,8.768355,7.988308,9.192058,8.649574
189,3.150000,8.789613,7.988308,9.192058,8.656660
190,3.166667,8.789613,7.988308,9.192058,8.656660
191,3.183333,8.789613,7.988308,9.192058,8.656660
192,3.200000,8.790094,7.988308,9.192058,8.656820
193,3.216667,8.790094,7.988374,9.192058,8.656842
194,3.233333,8.790094,7.989360,9.192058,8.657171
195,3.250000,8.790094,7.990922,9.192058,8.657692
196,3.266667,8.790094,7.990922,9.192058,8.657692
197,3.283333,8.790094,7.990922,9.192058,8.657692
198,3.300000,8.790094,7.990922,9.192058,8.657692
199,3.316667,8.790094,8.097631,9.192058,8.693261
200,3.333333,8.790094,8.097631,9.192058,8.693261
201,3.350000,8.790094,8.097631,9.192058,8.693261
202,3.366667,8.790094,8.097631,9.192058,8.693261
203,3.383333,8.790094,8.097631,9.192058,8.693261
204,3.400000,8.790094,8.097631,9.192058,8.693261
205,3.416667,8.790094,8.097631,9.192058,8.693261
206,3.433333,8.790094,8.147631,9.192058,8.709928
207,3.450000,8.790094,8.147890,9.192058,8.710014
208,3.466667,8.790094,8.147890,9.192058,8.710014
209,3.483333,8.790094,8.147890,9.192058,8.710014
210,3.500000,8.790094,8.147890,9.192058,8.710014
211,3.516667,8.790094,8.147890,9.192058,8.710014
212,3.533333,8.790094,8.161841,9.192058,8.714665
213,3.550000,8.790094,8.161841,9.192058,8.714665
214,3.566667,8.790094,8.161841,9.192058,8.714665
215,3.583333,8.790094,8.161841,9.203081,8.718339
216,3.600000,8.790094,8.161841,9.203081,8.718339
217,3.616667,8.790094,8.161841,9.203081,8.718339
218,3.633333,8.790094,8.161841,9.203081,8.718339
219,3.650000,8.790094,8.161841,9.203081,8.718339
220,3.666667,8.790094,8.161841,9.203081,8.718339
221,3.683333,8.790094,8.161841,9.203081,8.718339
222,3.700000,8.790094,8.161841,9.203081,8.718339
223,3.716667,8.790094,8.161841,9.203081,8.718339
224,3.733333,8.790094,8.161841,9.203081,8.718339
225,3.750000,8.790094,8.168984,9.203081,8.720720
226,3.766667,8.799252,8.168984,9.203081,8.723772
227,3.783333,8.799252,8.168984,9.203081,8.723772
228,3.800000,8.799252,8.168984,9.203081,8.723772
229,3.816667,8.799252,8.168984,9.203081,8.723772
230,3.833333,8.807199,8.168984,9.208587,8.728257
231,3.850000,8.892594,8.168984,9.209199,8.756926
232,3.866667,8.892594,8.168984,9.209221,8.756933
233,3.883333,8.892594,8.168984,9.209221,8.756933
234,3.900000,8.892594,8.256092,9.209221,8.785969
235,3.916667,8.892594,8.256092,9.209221,8.785969
236,3.933333,8.899699,8.256092,9.209221,8.788337
237,3.950000,8.946167,8.256092,9.218378,8.806879
238,3.966667,8.949486,8.264803,9.218378,8.810889
239,3.983333,8.949486,8.264803,9.218378,8.810889
240,4.000000,8.949486,8.264803,9.218378,8.810889
241,4.016667,8.954543,8.264803,9.218378,8.812575
242,4.033333,8.958155,8.264803,9.218378,8.813779
243,4.050000,8.958155,8.411486,9.218378,8.862673
244,4.066667,8.958155,8.424241,9.218378,8.866925
245,4.083333,8.958155,8.424241,9.218378,8.866925
246,4.100000,8.958155,8.424241,9.218378,8.866925
247,4.116667,8.958769,8.424241,9.218378,8.867130
248,4.133333,8.958769,8.424241,9.218378,8.867130
249,4.150000,8.958835,8.424241,9.218378,8.867151
250,4.166667,8.961058,8.424241,9.218378,8.867893
251,4.183333,8.961058,8.424241,9.218378,8.867893
252,4.200000,8.961058,8.424241,9.218378,8.867893
253,4.216667,8.961058,8.424241,9.218378,8.867893
254,4.233333,8.961058,8.424241,9.218378,8.867893
255,4.250000,8.961058,8.424241,9.218378,8.867893
256,4.266667,8.961058,8.424314,9.218378,8.867917
257,4.283333,8.961058,8.424314,9.218378,8.867917
258,4.300000,8.961058,8.424314,9.218378,8.867917
259,4.316667,8.961058,8.424314,9.218378,8.867917
260,4.333333,8.961058,8.424314,9.218378,8.867917
261,4.350000,8.961058,8.424314,9.218378,8.867917
262,4.366667,8.961058,8.424314,9.218378,8.867917
263,4.383333,8.961317,8.424314,9.218378,8.868003
264,4.400000,8.961317,8.424314,9.218378,8.868003
265,4.416667,8.961317,8.424314,9.218378,8.868003
266,4.433333,8.961317,8.424314,9.218378,8.868003
267,4.450000,8.961317,8.424314,9.218378,8.868003
268,4.466667,8.961317,8.424314,9.218378,8.868003
269,4.483333,8.961317,8.424314,9.218378,8.868003
270,4.500000,8.961317,8.665243,9.225050,8.950537
271,4.516667,8.961317,8.665243,9.225050,8.950537
272,4.533333,8.961317,8.665243,9.225050,8.950537
273,4.550000,8.961317,8.665243,9.225050,8.950537
274,4.566667,8.972340,8.665243,9.225050,8.954211
275,4.583333,8.972340,8.665243,9.225050,8.954211
276,4.600000,8.972340,8.665243,9.225050,8.954211
277,4.616667,8.972340,8.665243,9.225971,8.954518
278,4.633333,8.972340,8.672330,9.227533,8.957401
279,4.650000,8.972340,8.672330,9.227533,8.957401
280,4.666667,8.972340,8.672330,9.227533,8.957401
281,4.683333,8.972340,8.672330,9.227533,8.957401
282,4.700000,8.972340,8.672330,9.229757,8.958142
283,4.716667,8.972340,8.672330,9.229757,8.958142
284,4.733333,8.972340,8.733708,9.229757,8.978602
285,4.750000,8.972340,8.929539,9.229757,9.043879
286,4.766667,8.972340,9.171838,9.229757,9.124645
287,4.783333,8.972340,9.276337,9.229757,9.159478
288,4.800000,8.972340,9.346490,9.229757,9.182862
289,4.816667,8.972340,9.349809,9.229757,9.183969
290,4.833333,8.972340,9.349809,9.230117,9.184089
291,4.850000,8.972340,9.373043,9.230117,9.191834
292,4.866667,8.972340,9.373043,9.263573,9.202986
293,4.883333,8.972340,9.373043,9.267755,9.204380
294,4.900000,8.972340,9.373043,9.267755,9.204380
295,4.916667,8.972340,9.373043,9.267755,9.204380
296,4.933333,8.972340,9.383001,9.267755,9.207699
297,4.950000,8.972340,9.410416,9.267755,9.216837
298,4.966667,8.972340,9.410416,9.267755,9.216837
299,4.983333,8.972340,9.410416,9.276320,9.219692
300,5.000000,8.972340,9.410416,9.276320,9.219692
301,5.016667,8.972340,9.410416,9.276320,9.219692
302,5.033333,8.972340,9.410416,9.276320,9.219692
303,5.050000,8.972340,9.410416,9.276320,9.219692
304,5.066667,8.972340,9.410416,9.276320,9.219692
305,5.083333,8.972340,9.410416,9.276320,9.219692
306,5.100000,8.974309,9.410416,9.276320,9.220348
307,5.116667,8.974309,9.410416,9.276320,9.220348
308,5.133333,8.974309,9.410416,9.276320,9.220348
309,5.150000,8.974309,9.410416,9.276320,9.220348
310,5.166667,8.974309,9.417186,9.278133,9.223209
311,5.183333,8.977223,9.417186,9.279200,9.224537
312,5.200000,8.977223,9.417186,9.279200,9.224537
313,5.216667,8.977223,9.417186,9.279200,9.224537
314,5.233333,8.977223,9.417186,9.279200,9.224537
315,5.250000,8.977223,9.417186,9.279200,9.224537
316,5.266667,8.982078,9.417186,9.279200,9.226155
317,5.283333,8.982078,9.417186,9.280424,9.226563
318,5.300000,8.982078,9.417186,9.280424,9.226563
319,5.316667,8.982122,9.417186,9.280424,9.226577
320,5.333333,8.982122,9.417186,9.280424,9.226577
321,5.350000,8.982122,9.417186,9.280424,9.226577
322,5.366667,8.982122,9.417186,9.280424,9.226577
323,5.383333,8.991159,9.417186,9.280424,9.229590
324,5.400000,8.992966,9.417186,9.280424,9.230192
325,5.416667,8.992966,9.417186,9.280424,9.230192
326,5.433333,8.992966,9.417186,9.280424,9.230192
327,5.450000,8.992966,9.417186,9.280424,9.230192
328,5.466667,8.992966,9.417186,9.280424,9.230192
329,5.483333,8.992966,9.417186,9.280424,9.230192
330,5.500000,8.992966,9.417186,9.280424,9.230192
331,5.516667,8.992966,9.417186,9.280424,9.230192
332,5.533333,8.992966,9.417186,9.280424,9.230192
333,5.550000,8.992966,9.417186,9.289461,9.233204
334,5.566667,8.992966,9.417186,9.289461,9.233204
335,5.583333,8.992966,9.417186,9.289461,9.233204
336,5.600000,8.992966,9.417186,9.289461,9.233204
337,5.616667,8.992966,9.417186,9.289461,9.233204
338,5.633333,8.997767,9.417186,9.289461,9.234805
339,5.650000,8.997767,9.417186,9.377815,9.264256
340,5.666667,8.997767,9.417186,9.380054,9.265002
341,5.683333,8.997767,9.432255,9.380054,9.270025
342,5.700000,8.997767,9.432255,9.383305,9.271109
343,5.716667,8.997767,9.432255,9.383305,9.271109
344,5.733333,8.997767,9.432255,9.383522,9.271181
345,5.750000,8.997767,9.432255,9.383522,9.271181
346,5.766667,8.997767,9.432255,9.383522,9.271181
347,5.783333,8.997767,9.432255,9.383522,9.271181
348,5.800000,8.997767,9.432255,9.383522,9.271181
349,5.816667,8.997767,9.432255,9.383522,9.271181
350,5.833333,8.997767,9.432255,9.385545,9.271856
351,5.850000,9.001776,9.432255,9.385545,9.273192
352,5.866667,9.001776,9.432255,9.385545,9.273192
353,5.883333,9.003482,9.432255,9.385545,9.273761
354,5.900000,9.003482,9.432255,9.385545,9.273761
355,5.916667,9.003482,9.432255,9.385545,9.273761
356,5.933333,9.003482,9.432255,9.385545,9.273761
357,5.950000,9.003576,9.432255,9.385545,9.273792
358,5.966667,9.003576,9.434063,9.385545,9.274395
359,5.983333,9.003576,9.434063,9.385545,9.274395
360,6.000000,9.003576,9.434063,9.385545,9.274395
361,6.016667,9.003576,9.434063,9.385545,9.274395
362,6.033333,9.030778,9.434063,9.385545,9.283462
363,6.050000,9.030778,9.434063,9.393848,9.286229
364,6.066667,9.030778,9.434063,9.393848,9.286229
365,6.083333,9.036159,9.441665,9.396691,9.291505
366,6.100000,9.037909,9.441665,9.396713,9.292096
367,6.116667,9.037909,9.441665,9.396713,9.292096
368,6.133333,9.037909,9.441665,9.396713,9.292096
369,6.150000,9.037909,9.441665,9.396713,9.292096
370,6.166667,9.037909,9.441665,9.396713,9.292096
371,6.183333,9.095307,9.444355,9.396713,9.312125
372,6.200000,9.095307,9.444355,9.396713,9.312125
373,6.216667,9.098723,9.444355,9.396713,9.313264
374,6.233333,9.098723,9.444355,9.396713,9.313264
375,6.250000,9.098723,9.444355,9.396713,9.313264
376,6.266667,9.098723,9.451498,9.396713,9.315645
377,6.283333,9.098723,9.451498,9.396713,9.315645
378,6.300000,9.098723,9.451498,9.396713,9.315645
379,6.316667,9.099248,9.451498,9.396713,9.315820
380,6.333333,9.099248,9.451498,9.401161,9.317302
381,6.350000,9.099248,9.451498,9.401161,9.317302
382,6.366667,9.099248,9.451498,9.401161,9.317302
383,6.383333,9.099248,9.451498,9.401161,9.317302
384,6.400000,9.099248,9.451498,9.401161,9.317302
385,6.416667,9.099248,9.451498,9.401161,9.317302
386,6.433333,9.099248,9.484050,9.401161,9.328153
387,6.450000,9.099248,9.484050,9.401161,9.328153
388,6.466667,9.099248,9.484050,9.401161,9.328153
389,6.483333,9.099248,9.492353,9.401161,9.330920
390,6.500000,9.099248,9.492353,9.401161,9.330920
391,6.516667,9.099248,9.492353,9.402013,9.331205
392,6.533333,9.099248,9.492353,9.402013,9.331205
393,6.550000,9.099248,9.492353,9.402013,9.331205
394,6.566667,9.099423,9.492353,9.402013,9.331263
395,6.583333,9.100036,9.495509,9.402013,9.332519
396,6.600000,9.100036,9.495509,9.402013,9.332519
397,6.616667,9.100036,9.500159,9.402013,9.334070
398,6.633333,9.100036,9.500159,9.402013,9.334070
399,6.650000,9.100036,9.500159,9.409156,9.336450
400,6.666667,9.100036,9.500159,9.409156,9.336450
401,6.683333,9.100036,9.500159,9.409156,9.336450
402,6.700000,9.100036,9.500277,9.409156,9.336490
403,6.716667,9.100036,9.500277,9.409156,9.336490
404,6.733333,9.100036,9.520192,9.409156,9.343128
405,6.750000,9.100036,9.520192,9.409156,9.343128
406,6.766667,9.100036,9.520192,9.409156,9.343128
407,6.783333,9.100036,9.520192,9.409156,9.343128
408,6.800000,9.100036,9.520192,9.409156,9.343128
409,6.816667,9.100036,9.520192,9.409156,9.343128
410,6.833333,9.100036,9.520192,9.409156,9.343128
411,6.850000,9.100036,9.520192,9.409156,9.343128
412,6.866667,9.100036,9.521045,9.409156,9.343412
413,6.883333,9.100036,9.521045,9.409156,9.343412
414,6.900000,9.137674,9.521045,9.409156,9.355958
415,6.916667,9.144817,9.521045,9.409236,9.358366
416,6.933333,9.144817,9.521045,9.409236,9.358366
417,6.950000,9.144817,9.521045,9.409236,9.358366
418,6.966667,9.144817,9.521045,9.419700,9.361854
419,6.983333,9.144817,9.521045,9.420862,9.362241
420,7.000000,9.144817,9.521045,9.420862,9.362241
421,7.016667,9.144817,9.521045,9.420862,9.362241
422,7.033333,9.144817,9.521045,9.420862,9.362241
423,7.050000,9.144817,9.521045,9.420862,9.362241
424,7.066667,9.144817,9.521045,9.420862,9.362241
425,7.083333,9.147680,9.521045,9.420862,9.363196
426,7.100000,9.147680,9.521045,9.420862,9.363196
