app_name,reached_methods,percentage_reached
Addi,10,20.0
a2dpvolume,16,32.0
aGrep,16,32.0
aLogCat,21,42.0
aagtl,18,36.0
aard2,20,40.0
adsdroid,31,62.0
alarmclock,13,26.0
amazed,19,38.0
anycut,10,20.0
appcachecleaner,24,48.0
autoanswer,11,22.0
battery_circle,21,42.0
batterydog,19,38.0
bites,10,20.0
blokish,10,20.0
bomber,20,40.0
bookcatalogue,10,20.0
countdowntimer,20,40.0
dalvikexplorer,12,24.0
dialer2,19,38.0
divide_and_conquer,23,46.0
frozenbubble,17,34.0
gestures,19,38.0
hotdeath,33,66.0
importcontacts,25,50.0
jamendo,12,24.0
k9mail,10,20.0
learn_music_notes,22,44.0
lockpatterngenerator,25,50.0
lolcatbuilder,13,26.0
manpages,18,36.0
mileage,12,24.0
mininoteviewer,14,28.000000000000004
mirrored,20,40.0
multismssender,14,28.000000000000004
munchlife,11,22.0
musicplayer,26,52.0
mylock,11,22.0
nectroid,10,20.0
netcounter,19,38.0
passwordmaker,18,36.0
quicksettings,19,38.0
ringdroid,21,42.0
sanity,11,22.0
swiftp,18,36.0
syncmypix,12,24.0
tippytipper,31,62.0
tomdroid,14,28.000000000000004
translate,0,0.0
weight_chart,14,28.000000000000004
whohasmystuff,18,36.0
wikipedia,28,56.00000000000001
worldclock,23,46.0
yahtzee,12,24.0
zooborns,19,38.0
Average,,34.36
