APP,TIME,REACHED METHODS,TOT. REACHABLE PATHS,REACHABLE CONDITIONAL PATHS,AVG. REACHABLE PATHS,UNIQUE PATHS
6EBED1A466F613167F29D3E7932443BDB0EF97012E3126C60323C4F28860CA9F,2028.1598880290985,35,721,2,20.60,715
6F7FFDD9BC7B322B1BA6BD3F9CD4AB48ECDE423294B5535DF2C4C3ED62222469,1010.9819631576538,1,42,13,42.00,28
72A578148C8FFA4B90839EA856B60C7912B44973E4F33DF0B7E65EAB92DB079C,2806.7691843509674,22,204,82,9.27,204
771952023C1EAE7B5DCCB8CF2106363AE214425D3936CEDFBCAF86D6D7FB5C3A,1257.3514885902405,14,92,39,6.57,89
7958901BCABDE974E9FCF8BF7DE63BD8CEB654A1718A953F8626A3E829207AB0,147297.01209664345,27,3642,991,134.89,2174
7D210228301FD61D1086711C001F931B4909A318ADC1D57D14BC3CE6A9E47AFB,770.1411304473877,14,69,12,4.93,33
80344EAAAFE3C11B0BFB8FCCACF25E8BFEE5C53E1D85BD5A0BB09EF2E2BE4007,37.46781587600708,48,77,0,1.60,77
80C0FBCC6FC65C965F466CD7E8C5051FA2801F5AFAF478A7212B4583D74AB07C,991.9784393310547,30,65,0,2.17,65
8353FA570AA122F20D1C87F81CCFCE9BB0542209431B748FC0CEA4DF673B0E0C,1344.5145223140717,14,667,152,47.64,392
8687CFC10C0DF9F44F8BBC54E85FAAA8F98FC586476BDCBE455B36DBB3899CC6,1331.972011566162,32,141,10,4.41,141
8B4EA36FE14A96D5C024CB2F0470DD32062BBFBB3176F6CA69BD560AB8793661,455.4231262207031,8,15,0,1.88,15
8CC07DE417A472E7E7036C13EC94948C1818CDF3E31F7A1BD3DCFA1560592555,629.5488345623016,29,98,11,3.38,74
8DDE3803F30E68E8E23FE1EDC67CAF5E1421E45904237B741F49B8DFA848FAE7,575.3909351825714,18,43,24,2.39,43
917AE45500F61827A5967A9E703F88920836D7227101BBF7E5197CE2B55A5560,282.6970019340515,22,29,0,1.32,29
9335FD231C4C1CB888468C69C11579688907640F0403F23E7B8709E88B2FC8C6,2263.65162730217,5,59,17,11.80,59
93B695C0890575397F049873203A8454C3514493D22FF365D8A363D2B2F99D67,289.3853852748871,11,13,0,1.18,13
946BAEEB3BC41A9B44C656B1FF2C1C1CBEEDFEC066945FC9E6D397BE064E7DC6,1017.0245308876038,14,14,0,1.00,14
9AE3A50209A6E8B06C37B4EEF67CE039BB8283EFD8D6C2C2C4AA102CD7AFF54A,1082.3114807605743,28,159,17,5.68,65
9CE067942CBD9A23C1CD81190430EDB2FFBDAF1BBF2BD7521C7A0CB0D153B54E,74970.31845593452,14,336,5,24.00,336
9F420B96DEDCADC82163CE7CEFEB4E7D578381679093A7153365028A34891E00,8851.091666221619,40,3644,935,91.10,2486
9F4AE69D0ADB02CFC63CE4EB6BD7D2F9F005C096AF86E8FDF1748CC2685C6513,232.04159307479858,13,24,0,1.85,24
9F83A3F5FDAE6CDCAF6F6B8648230D565BFD46E03A6E08C60B6AC55E1B46F491,850.0070040225983,1,1,0,1.00,1
A3FDA77D24E0681BFBCBBE00DF9C6CE8FDA734E2B928FEA2D23BC6AF794A271B,310.1506357192993,25,145,97,5.80,145
A480F8164C1FE78DE4BA071910B8842485F7BE8CADDED0E759CDEB03C0389EAB,13107.93544793129,9,614,192,68.22,506
A6F94981520C2329E70A754F709763FD39793E6BBCF054EBF06695AA9E30DF8A,2473.3824710845947,1,2,0,2.00,2
A70A3D6EA481C0FE0C1887BEA3E3434D7614E6B7CF747B899C0EB8C139286143,583.2838275432587,5,19,8,3.80,17
AB838382FED5A2493456B97BB34481D81BF9C9CA5EAAD27D16DFC95B44CD1F3E,7603.324683666229,22,1905,529,86.59,1298
ACFD57B578E1C356F415EDC6E462C8A96F193A2F7B4AADE578E09155647D088C,23238.863826036453,5,584,129,116.80,267
B082D0DF2E4D1DBADD667FE96292C4C7CC53CBCA795C49295A7C27ACE008F3FC,917.3571419715881,9,9,0,1.00,9
B4098FCC8C47A10B42868E2B093B5D642F13294F284840B6B25FE695612740C0,22055.29413151741,19,1611,645,84.79,1611
B5529BFF4D2E24435332C30324A0FB95578B6D3B5E844E907651B16992201701,18579.20633006096,26,4999,1279,192.27,2842
BBD13666C890685B8B071157A39CF5B81E2431B1511A6840B80BCCCA13A87E18,328.01750564575195,22,719,164,32.68,719
BE2973BCBBA39B06147DB5520C36C7FF18CB25033548FB6DBFA92A1B526746C7,4614.546626329422,8,2038,217,254.75,510
BF14EB26DCC8288551B2365AB76A43E9B93D2C6EF30A4AFA38612CA51AE86C79,376.01611948013306,3,12,4,4.00,4
BFE864C0B0FBB68A1A84E27E1E99161F3E61876AEADC0FE6D08295FBF6BA9C03,8357.076303958893,13,1190,392,91.54,773
C0B8AC91A8145A03D0491C23B9178C443C293ECED6B8F9E1481D8217B58B504F,2694.8640863895416,26,226,0,8.69,192
C2C91936EFD64F883742ED8CA0066927C5F7618D3F67DB40E6C4BB9ADFBED8C5,4440.289890050888,16,33,0,2.06,33
C55F81B5969906E09A85C34B0135D5805E3DA9512F7D155F5AFF65FC7196DE68,924.108559846878,1,1,0,1.00,1
C678D9D40276C4B02D899EDCE833F30E7E31259A61D5F4E6751CB4F60A9F50C8,766.154534816742,11,43,10,3.91,43
CB265A9983CA776258AC53E751CCA7338EC2FAEABF3E30F637D5FD1348819B30,782.8318305015564,6,9,0,1.50,9
CBD57281B6BF7897BA1B8517B83D9BA3FB8A9E3FCC51EDDE5F0B4E280F4CC2AC,905.6338098049164,33,194,4,5.88,156
CFD47B8F927BF4B979F0144F69B9A28A05BEBD8C0A72F090265BEFC82646F0F6,193.5934841632843,23,358,70,15.57,358
D7F698AD5F334AEED6B851A8C023107AF37EE03FFDF9CC7BC5DD58B3AF8877D8,569.4464066028595,20,289,28,14.45,260
D90848F09170CC6AB6ADA4A6E7F56C8A4B54D86134957E9DDC7068948FB05888,1704.8693208694458,6,57,25,9.50,56
DB84C0394D11B02298A991D03D30F11D9A2D469CAE6F9EC2C150CE97A2D61CE0,972.5581696033478,13,80,7,6.15,73
DE79CD990B687AAEC012D1B5CEB51B3539CBDE31843733FE1C42E27CF92DCBEE,589.0731132030487,4,69,18,17.25,69
E5559834F1360F1DE6E1BCF26EDC2CE5F6D8FE2E53189E071CB53423048B5943,1223.4508836269379,9,173,30,19.22,86
E6A772365395C9A9133FB4DA9E43C3FDDAF1367A0E0E43EB9E551EC0908AB74C,1320.183631658554,12,124,0,10.33,124
E8EB864C66CD63CFBF29E1A386394B65B254908EFC00A0332FFFEA3A008B76E0,1033.5135490894318,10,17,0,1.70,15
E9549BB7A18FCF8E39E8613686212BA51D76798BD9AB55497758B4B726726601,1066.732140302658,17,105,13,6.18,83
EC3565B87242878D881FA632C27C666EEF25478DB8F955E92AE817B26219DB02,3599.0046553611755,40,1287,253,32.17,829
F13B3188C3BBE4C7965E4F739283769FFE04F8273157BE7D239FB3A9BEB699DB,2186.2366003990173,8,10,1,1.25,10
F15B38AE2533143A35898AD1859AB37590477FF1FF45F10DD0DF540F98E4C5F4,1515.6953384876251,24,170,125,7.08,166
F7B6C29259A6D482E0F153BD26988D4C060329E4920178CCA826FECE3A7F03BA,8142.207515001297,22,2067,521,93.95,1043
F82C941BE7AE007F482CB4516BCCC5A5F3AC0152C5C0DB8714E5C0D135A71E38,1141.2047746181488,11,12,0,1.09,12
